Word	Definition	Part of speech	Category	Example sentence	Notes
kunjung	visit	verb	travel		
kura-kura	tortoise	noun	animals		
kurang	not enough, less, minus	adjective			
kurang-lebih	estimate	noun			
kursi	chair	noun	house		
kursi panas	important place, hot seat	noun	business		
kutub	pole	noun	travel		
lacar	flow	noun			
lada	pepper	noun	food		
lagi	in the process of and again	grammar	grammar		
lagu	song	noun	music		
lain	other	adjective		Lain kali	
laki-laki	male	adjective	family		
lakukan	do	verb		Janang lakukan itu	
lalu	then, previous	conjunction	grammar		
lalu-lintus	traffic (then cross)		travel		
lama	long (time)	adjective	time		
lama-lama	in a long time				
lambang	symbol	noun			
lampar	throw	verb			
lampar saja	just throw it	verb	grammar		
lampu	light	adjective	time		
langit	sky	noun	nature		
langit-langit	ceiling	noun	home		
langsung	right away				
lanjut	continue, carry on	verb			
lanpang	spacious	adjective			
lanpangan	field, court	noun	sport		
lantai	floor	noun	home	turun ke lantai bawah	
lap	cloth, wipe	noun			
lapangan	field	noun	nature		
lapar	hungry	adjective	food		
laporan	report	noun	business		
lari	run	verb			
laut	sea	noun	travel		
lawan	against	preposition			
layanan	service	verb			
layangan	kite	noun	leisure		
layu	stale	adjective	food		
lebar	wide	adjective			
lebih	more	adjective			
lebih baik	better (more good)	adjective			
lebih banyak	more (quantity)	noun			
lebih suka	prefer	verb			
leher	neck	noun	body		
lelah	physcially tired	adjective	health		
lem	glue	noun			
lemari	wardrobe	noun			
lembab	moist/ humid/ damp	adjective	weather		
lembah	valley	noun	nature		
lembut	tenderly, softly	adjective	food		
lempar	throw	noun	jacl		
lengan	arm	noun	body		
lengkap	complete	adjective			
lepas	free	adjective	jacl	lepas sepatunya	
lepaskan	let go, release	verb			
lesu	sluggish	adjective			
lewat	through, past	preposition	travel		
liar	wild	adjective	animal		
libur	holiday	noun	travel		
liburan	holidays	noun	travel		
lidah	tongue	noun	body		
lima	five	noun	numbers		
lingkungan	environment	noun	nature		
listrik	electricity	noun	technology		
lobak	radish	noun	food		
logis	logic, sensibile	noun		Logis sedikitlah	
lombah	race	noun	sport		
longsor	landslide		emergency		
losmen	guesthouse	noun	travel		Not common anymore.
luang	spare time	noun	social		
luar	outside	noun	house		
lucu	funny	adjective	social		
luhur	noble	adjective			
lukisan	painting	noun	arts		
lumba-lumba	dolphin	noun	animals		
lumpuh	paralised	adjective			
lupa	forget	verb	social		
lurus	straight ahead	noun	travel		
lusa	day after tomorrow, two days time	noun	time		
lutut	knees	noun	body		
maafkan	sorry for, excuse	verb	social	Maafkan gaun riasku	
macet	traffic jam	noun	travel		
mahal	expensive	adjective	shopping		
mainan	toy	noun			
maju	advanced, advance	adjective, verb			
makam	graveyard	noun			
makan	eat	verb	food		
makanya	therefore	conjunction			
maksudnya	the meaning	noun	social	Apa maksudnya	
malam	night	noun	time		
malas	lazy	adjective	social		
malu	shy	adjective	social		
malu-malu	very shy	adjective	social		
mampet	blocked	adjective	travel		
mana	where	adverb	social		
mana-mana	anywhere	adverb	social		
mancing	fishing	verb	activities		
mandi	bathe, shower, wash	verb	social		
mandiri	independent	adjective	social		
mangkuk	bowl	noun	kitchen		
manis	sweet	adjective	food		
mantan	ex-	adjective		Dia mantan pesident	
marah	angry	adjective	social	Pelanggan yang marah	
mari	let's	interjection	social		
mari bersulang	toast! cheers!	interjection	social		
mas	brother (from another mother)	noun	social		
masak	cooking	verb	food		
masalah	problem	noun			
masih	still	adverb	grammar		
masing masing	each	adjective			
masuk	enter	verb	travel		
mata	eye	noun	body		
mata kaki	anklebone	noun	body		
mata-mata	spy	noun	business		
matang	ripe, ready to harvest	adjective	food		
mati	dead	adjective	health		
matikan	turn off	verb			
mawar	rose	noun	plants		
mbok	sister (balanese)	noun	social		
mecoba	try	verb			
meja	table	noun	house		
melahirkan	give birth to	verb			
melakukan	do	verb			
melampari	throw often	verb			
melatih	train	verb			
meledak	explode	verb	emergency		
melemparkan	throw	verb	jacl		
meler	runny	adjective	health	Saya punya hidung meler	
meletus	errupt	verb	nature		
melukis	painting	verb	arts		
memakan	eat but more for animals	verb	animals		
memanggil	call	verb	social		
memangsa	eat	verb			For animals
memantao	monitoring	verb			
memataikan	turn off	verb			
membaca	read	verb			
membakar	burn	verb			
membandingkan	compare	verb			
membantah	disobey	verb			
membantu	helpful	verb	social		
membawa	bring	verb			
membeli	buy, purchase	verb	shopping	(None)	(None)
memberi	give, provide	verb	jacl		
membersihkan	clean, cleaning	verb			
membesarbesarkan	hyperbole, exagerate	verb			
membuahkan	product	verb			
memegang	hold	verb			
memeriksa	inspect	verb			
memijat	massage	verb	massage		
memilih	choose	verb			
memiliki	own, have	verb			
memimpin	lead	verb	business		
meminta	request	verb	shopping		
memolong	help	verb	emergency		
mempelajari	study, investigate	verb	business		
memperbaiki	repair	verb	emergency	Memperbaiki hidup saya	Not for people, things and abstract concepts.
memperkenalkan	introduce	verb	social	Saya mau memperkenalkan kamu ke seseoroang kepan-kepan	
memperpanjang	lengthen, renew	verb		Saya mau memperpanjang sewa saya	For time, to extend a lease etc.
memulai	start	verb			(None)
menakutkan	scary	adjective			
menaman	planting	verb			
menanam	to plant	verb			
menangis	cry	verb	social		
menantang	challenge	noun			
menapa	why	adverb			
menarik	pull, interesting	verb, adjective	verb		
menariknya	pulls him	verb			
mencapai	reach, achieve	verb		(None)	(None)
mencari	search	verb			
menciptakan	create	verb			
mencium	smells	verb			
mencuci	washing	verb	business		
mencuri	steal	verb			
mendaki	hiking	verb			
mendapat	get	verb			
mendapatkan	get, obtain, receive	verb			
mendekat	approach	verb			
mendengar	listen	verb	social		
mendung	overcast	adjective	weather		
menelephon	telephone	verb	social		
menelepon	phone	verb	social		
menemani	accompanies	verb	social		
menerima	receive	verb			
meneruskan	continue, go ahead	verb	social		
menetas	hatch	verb			
menetes	dip	verb		Air mata mentetes	For water, tear
mengajar	teach	verb			
mengantuk	sleepy				
mengapa	why? (more formal)				
mengapus	erase, delete	verb			
mengatur	arrange	verb			
mengecat	paint	verb			
mengenang	remember	verb			
mengepel	mop	noun	home		
mengerti	understand				Ngerti is common, the me gets dropped in casual talk for many meng verbs.
menggambar	drawing	verb			
mengganggu	bother, annoy	verb	social	Dia mengganggu saya 	
menggigit	bite	verb			
menghadap	faces	verb			
menghadapi	is facing	verb			
menghidup	alive	adjective	social		
menghormati	respect, appreciate	verb		Hormati orang yang lebih tua	
menginap	stay the night	verb	travel		
mengingatkan	reminds			Itu mengingatkan saya	
mengirim	giving, sending, delivering	verb			
mengirimkan	giving, sending, delivering	verb			
mengiris	slice	verb	food		
mengobati	treat	verb	health		
mengosok	brush, scrub	verb			
menguap	evironment	verb			
mengubah	change	verb			
menikah	marry	verb	social		
menikmati	enjoy	verb	social		
meningal	died		health		
menit	minute		time		
menjadi	becomes, to be				
menjaga	protect, guard	verb			
menjalar	teach				
menolong	help, assist	verb	social		
menonton	watching	verb		Saya suka menonton televisi	
menuju	heading, travelling	verb	travel	Kami berjalan bersama menuju sekolah.	
menukar	exchange, swap	verb			
menulis	write	verb			
menulisnya	write it	verb	activities		
menunggu	wait	verb	jacl		
menurut	opinion	noun		Menurutmu bagaimana	
menyalakan	turn on	verb			
menyapu	sweep	verb			
menyenangkan	fun, pleasant	adjective	social	Semoga harimu menyenangkan	
menyentuh	touch	verb			
menyikat	brushing	verb			
menyimpan	storing	verb			
menyopir	driving	verb	travel		
merah	red	adjective	colours		
merasa	feel	verb			
merawat	take care of	verb			
merebus	boils	verb	food		
merica	pepper	noun	food		
merintih	moaning (in pain)	verb	health		
merokok	smoke	verb	social		
merubah	change	verb			
merupakan	is, constitute	verb			
merusak	damages	verb	jacl		
mesin	engine	noun	travel		
mewarnai	colouring in. (give colour)	verb			
milik	possesion	noun			
mimpi	sleep dream	noun	social		
minggu	sunday	noun	time		
minta	ask for	verb	shopping		
minyak	oil	noun	food		
mirip	resembles, looks like	verb			
misalnya	example	noun			
miskin	poor	adjective	shopping		
mohon	please	verb	social		
muda	young	adjective	social	(None)	
mudah	red	adjective	colours		
mulai	start	verb			
mulut	mouth	noun	body		
muncul	appear				
mundur	backward	verb			
mungkin	may/ maybe/ possible				
murah	cheap				
murid	student	noun			
musim	season	noun	weather		
mutik	carving knife	noun	food		
nafas	breath				
naga	dragon	noun	animals		
naik	go up, ride	verb	travel		
